Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
15,0.0508615213881723,0.00165840957620466,0.0111106330353474,0.00596266502560707,0.00032693189987026,2.82060338104749e-05,0.0104044143254758,0.000159834232026795,1.59338540728392e-05,0.000304633273395682,0.000328920163767014,5.54902125000161e-06,1.3872553125004e-06,0.00029908425214568,0.000327532908454514,0.000326931899704722,0,0.000286006976458743,6.01008749478603e-07,3.92006878970993e-07,8.03,0.000641307300519489,2.08465783840143e-05,5.77462444889399
16,0.0508604733015963,0.00165895176319818,0.011087979654208,0.00564827023838231,0.000270532675828182,0.000135100058813036,0.00908643725984082,6.74192757575688e-05,6.73180874270878e-06,0.000265667636747514,0.000272192789036369,4.84610011837918e-06,1.21152502959479e-06,0.000260821536629134,0.000270981264006774,0.000270532675817301,0,0.00025000022961733,4.48588189454343e-07,7.24339685030638e-06,7.865,0.000270077886176351,8.79606612928194e-06,5.77454344401272
17,0.0508691546595873,0.00165940056385774,0.0111794126221238,0.00538168494579777,0.00029778971430638,0.000170261679570686,0.0104950761709677,0.000233335407412325,2.32289924589044e-05,0.000309547667305533,0.000299630436653392,5.59737424452674e-06,1.39934356113168e-06,0.000303950293061006,0.00029823109309226,0.000297789714304608,0,0.000292038704492426,4.41378787649743e-07,1.07380363331791e-05,7.81,0.000937510333924565,3.04516951174999e-05,5.77521439576684
18,0.0508812548414303,0.00165989471627758,0.0112996323543413,0.00510407813208967,0.000223171212756478,8.60175130771551e-05,0.00829143252343058,0.00116564048186985,0.000113356540946585,0.0002473186314073,0.000224568231922418,4.4220975737728e-06,1.1055243934432e-06,0.000242896533833527,0.000223462707528975,0.000223171212743015,0,0.000233969685353033,2.91494785942633e-07,2.69440790709071e-06,7.76,0.00479745061759623,0.000152142530370934,5.77614951545872
19,0.0508912185029529,0.00166026515699445,0.0113463822001726,0.00499198970311445,0.000260082471607661,7.6951127743699e-05,0.00987909126518715,0.000999272341207663,9.79296865886855e-05,0.000295960874369636,0.000261722067852072,5.26884894635662e-06,1.31721223658915e-06,0.000290692025423279,0.000260404855615483,0.000260082471605179,0,0.000280288726564606,3.22384010300637e-07,1.59476656446742e-06,7.76,0.00407962026517466,0.000130425796739939,5.77691946844537
20,0.0508989610556782,0.00166069696286001,0.0113766813123284,0.0048271891384401,0.000189889736027059,0.000127508017638839,0.00745852740569025,0.000639590648954964,6.28710348755489e-05,0.000224115134882099,0.000191103229431829,3.97788148768464e-06,9.94470371921161e-07,0.000220137253394414,0.000190108759059908,0.000189889736016594,0,0.000212541663977966,2.19023043301078e-07,1.47152675231126e-05,7.775,0.00260300567105919,8.34852282526141e-05,5.77751774955827
21,0.0509104990909946,0.00166101231216791,0.0114692013776541,0.00469823743095154,0.000259883935575199,0.000165352575548597,0.0104872855079724,0.000500661542395128,4.95875227232432e-05,0.000317768127016276,0.000261561722799812,5.5932192253393e-06,1.39830480633483e-06,0.000312174907790936,0.000260163417993477,0.000259883935568757,0,0.000301779550383637,2.79482424712972e-07,9.31183035424969e-06,7.775,0.00202195170688793,6.53533957392641e-05,5.77840926059631
22,0.0509235418044939,0.00166144398258463,0.0115854067603397,0.00448529376862339,0.000231786578591428,0.000135857716063407,0.00979681631390531,0.00094187389073341,9.2395624846504e-05,0.000299981612285516,0.000233315576683365,5.22496896904058e-06,1.30624224226014e-06,0.000294756643316475,0.000232009334441105,0.000231786578590516,0,0.000285485180175173,2.22755850587901e-07,5.65333039607736e-06,7.79,0.00384135781219008,0.000122950726160876,5.77941695615094
23,0.0509363657402698,0.00166182908300088,0.0116755341844807,0.00434353466615546,0.00019291218730003,9.27597215792126e-05,0.00841958044910283,0.00100282772800474,9.79325959728029e-05,0.000259889258704128,0.000194206033395022,4.49044313355237e-06,1.12261078338809e-06,0.000255398815570576,0.000193083422611634,0.000192912187298267,0,0.000247682328083309,1.71235313364967e-07,3.06615748685878e-06,7.9,0.00410919742632272,0.000130904349900573,5.78040766834285
24,0.0509461621033633,0.0016621496700842,0.0117290663897933,0.0042465774197422,0.000235288296408168,0.000338822313129802,0.01050341834444,0.000494705486038501,4.9003880733569e-05,0.000325761080704168,0.000236886597590357,5.60182339906478e-06,1.4004558497662e-06,0.000320159257305103,0.000235486141740591,0.00023528829640666,0,0.000310747725452939,1.97845333929739e-07,-6.57887293658553e-06,7.945,0.00199763949737942,6.45726917071867e-05,5.78116443198452
25,0.0509747704015122,0.00166254075444845,0.0120190408630773,0.0040578735937193,0.000173435655286165,0.000129880839302114,0.00810214441933119,0.000604291322181983,5.95325734370115e-05,0.00025759549566714,0.000174642777537543,4.3211439059628e-06,1.0802859764907e-06,0.000253274351761177,0.000173562491561053,0.000173435655282826,0,0.000246336925559614,1.26836278224274e-07,1.00958124825146e-05,8.015,0.00245376770858632,7.88800497787258e-05,5.78337414133859
26,0.0509860918918511,0.00166282909829364,0.0121109449094879,0.00394217376230337,0.000181390945460977,-0.000102552295597521,0.00872261512900313,0.000219900626922295,2.18784217113064e-05,0.000279507494999404,0.000182677278465327,4.65206163272045e-06,1.16301540818011e-06,0.000274855433366684,0.000181514263057147,0.000181390945460932,0,0.000267599795548382,1.23317596214585e-07,-9.25546841739717e-07,8.07,0.000884060008970583,2.86931874964213e-05,5.78424850564145
27,0.0509744071543793,0.00166313072043592,0.011967528119137,0.00378077081676003,0.000176269179451416,0.000112605923575271,0.00883882397962039,0.000100671301741857,1.00439594606625e-05,0.000279967506303791,0.00017756060348343,4.71403968902151e-06,1.17850992225538e-06,0.00027525346661477,0.000176382093561175,0.0001762691794514,0,0.000268202699436763,1.12914109774584e-07,4.38697726874825e-06,8.085,0.000403604591666469,1.31353103076266e-05,5.78334608655623
