Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
11,0.0505359179168591,0.0016602366277374,0.00267871795680465,0.0134778098603713,0.000593687747027696,0.000153316992613868,0.00949887399990422,0,0,6.62677190285284e-05,0.000674845773934591,5.06645658245072e-06,1.26661414561268e-06,6.12012624460777e-05,0.000673579159788978,0.000593687746661414,0,3.74537526316527e-05,7.9891413096792e-05,1.04510192493525e-05,0.00518998788309506,0,0,5.74943338709521
12,0.0505461630277809,0.00166122228988045,0.00279788528572978,0.0128668647476529,0.00057657278788656,0,0.00948971191852237,0,0,6.92066668870409e-05,0.000643951444977758,5.06238420988866e-06,1.26559605247216e-06,6.41442826771522e-05,0.000642685848925286,0.000576572787630577,0,4.10813712130601e-05,6.61130612749664e-05,0,0.00168072913611872,0,0,5.75022681177168
13,0.0505427548194375,0.00166218010544743,0.00276403866841511,0.0122749963737437,0.00055353657626386,0.000151869307809182,0.00948987334147554,0,0,6.8433131966218e-05,0.000614612818344339,5.06238420988866e-06,1.26559605247216e-06,6.33707477563294e-05,0.000613347222291867,0.000553536575855098,0,4.12292847909132e-05,5.98106464061028e-05,9.99926965972088e-06,0.00181013595164914,0,0,5.74996287141713
14,0.0505531021233831,0.00166310018293213,0.00288305120406872,0.0117074184776985,0.000535433359294642,0.000137113586427693,0.00948075910473167,0.0212762936674413,0.00150504435935096,7.13730073202628e-05,0.000585927803263953,5.05829997439094e-06,1.26457499359774e-06,6.63147073458719e-05,0.000584663228270355,0.000535433359089586,0,4.48973730211533e-05,4.92298691668417e-05,6.52019412825404e-06,0.00106724825176109,0.15436140290427,0.0028003703412566,5.75076417548915
15,0.0506373501371253,0.00166399066224992,0.00298765573710397,0.0126645733736315,0.00057178948925562,0.000109405361944648,0.00942577481351665,0.0426102409819974,0.00240002901495832,7.34012262019504e-05,0.000629532187578079,5.0279913872265e-06,1.25699784680662e-06,6.83732348147239e-05,0.000628275189731273,0.000571789488248791,0,4.55016554653415e-05,5.64857014117959e-05,3.45588188611874e-06,0.00220610130119207,1.77464784685248,0.00561018336221679,5.75728646625761
16,0.0507636800621546,0.00166494211462081,0.00306290305261749,0.0144786658623414,0.000639445958563988,0.000133781681069795,0.00940181812714335,0.0445674119533901,0.00246470946280653,7.48500741501727e-05,0.000716906723262608,5.01541412189875e-06,1.25385353047469e-06,6.98346600282739e-05,0.000715652869732133,0.000639445953484001,0,4.42568226775948e-05,7.62069158568685e-05,6.15979180746966e-06,0.00180513341173771,3.41836247013956,0.0058614568811295,5.76706015508867
17,0.0508951703749263,0.00166600675512725,0.00315970723896848,0.0162857965017854,0.000703777276094885,0.000139751533979375,0.00935954503527217,0.0451341328340341,0.00247938001277711,7.67002011321411e-05,0.000802119556613887,4.9956484215718e-06,1.24891210539295e-06,7.17045527105693e-05,0.000800870644508495,0.000703777269814599,0,4.35534627856436e-05,9.70933741804993e-05,7.34216172554732e-06,0.000513150170795124,4.97348883755535,0.00592500544454184,5.77722484040172
18,0.0510276804283944,0.00166717925282333,0.00325973295816889,0.01803897942121,0.000764513763448082,0.00012571302812614,0,0.0453499643445084,0,7.86744168366391e-05,0.000884541023783473,4.97994957195666e-06,1.24498739298917e-06,7.36944672646824e-05,0.000883296036390484,0.000764513756188294,0,4.31139179270655e-05,0.000118782279584756,5.14921199548663e-06,0,6.3340476571283,0.00594213707229793,5.78745987699093
19,0.0510345874151251,0.00166845383430825,0.00334308198488106,0.0172475514010068,0.000742067417636534,0,0.00932838506137937,0.0455005154262211,0.00248829002113274,8.06891149261669e-05,0.000845377684736843,4.9756426955914e-06,1.24391067389785e-06,7.57134722305755e-05,0.000844133774062945,0.000742067416780376,0,4.60307756776627e-05,0.000102066357213436,0,0.00394855263374092,7.40731909373427,0.00595092771519648,5.78799313772786
20,0.0511549498453638,0.00166969193953652,0.00330133977584933,0.0189695246129661,0.000799724531148921,2.41150679015225e-05,0.00937398564608893,0.0458161963897261,0.00250354022771575,7.98917514411529e-05,0.000933287679512388,4.99990431914218e-06,1.24997607978554e-06,7.48918471220108e-05,0.000932037703432602,0.000799724523753303,0,4.29028670516211e-05,0.0001323131790385,3.68999717185202e-07,0.00449078857143962,8.12016147263347,0.00599585008417063,5.79728214247929
