"days","temp","salt","DLI","pCO2","totAlk","B_stipe_gDW","B_fronds_gDW","B_gDW","B_kgWW","r_eff_th","r_eff_fr","fT","fL"
2023-05-04,7.88479166666667,22.634375,56.6574772457112,614.956428571429,0.0017101288396875,0.005,0,0.005,3.84615384615385e-05,0,0,0,0
2023-05-05,7.85291666666667,16.2066666666667,57.0182476366834,688.563333333333,0.00139664371933333,0.00598682109851822,0,0.00598682109851822,4.60524699886017e-05,0.197368331886574,0,0.98684165943287,0.85078690725828
2023-05-06,7.900625,20.8141666666667,57.3719897332243,651.759880952381,0.00162135564108333,0.00717374734961694,0,0.00717374734961694,5.51826719201303e-05,0.198261455078125,0,0.991307275390625,0.851570362704183
2023-05-07,7.95145833333333,23.405625,57.7186566284088,638.463244047619,0.0017477433963125,0.0086025094851374,0,0.0086025094851374,6.61731498856723e-05,0.199171336443866,0,0.995856682219329,0.8523302070968
2023-05-08,8.068125,25.9341666666667,58.0645101997085,644.339947916667,0.00187106264908333,0.010332384098983,0,0.010332384098983,7.94798776844843e-05,0.201096741536458,0,1.00548370768229,0.853080555921743
2023-05-09,8.05916666666667,29.0383333333333,58.4118350072261,633.2841015625,0.00202245565116667,0.012408658978292,0,0.012408658978292,9.54512229099385e-05,0.200956938657407,0,1.00478469328704,0.853826461474923
2023-05-10,8.09125,30.0308333333333,58.7516099413714,628.66515671503,0.00207086076941667,0.0149082720095479,0,0.0149082720095479,0.00011467901545806,0.2014514453125,0,1.0072572265625,0.854548860622644
2023-05-11,8.09458333333333,30.14625,59.0837917192392,598.573333333333,0.002076489744125,0.0179121296130947,0,0.0179121296130947,0.000137785612408421,0.201501838831018,0,1.00750919415509,0.855248246352189
2023-05-12,8.214375,30.09875,59.4214647619433,664.466666666667,0.002074173126375,0.0215514225805047,0,0.0215514225805047,0.00016578017369619,0.203189944661458,0,1.01594972330729,0.855952333557186
2023-05-13,8.40229166666667,30.02375,59.7515204961207,611.532827640296,0.002070515308875,0.0259767435086323,0,0.0259767435086323,0.000199821103912556,0.205356206235532,0,1.02678103117766,0.856633949641913
2023-05-14,8.51145833333333,29.9558333333333,60.0736739908388,607.249745371612,0.00206720295191667,0.0313363186416092,0,0.0313363186416092,0.000241048604935456,0.206344391999421,0,1.03172195999711,0.857293054146021
2023-05-15,8.55645833333333,29.9545833333333,60.3878849820418,609.418848381182,0.00206714198829167,0.0378124995189795,0,0.0378124995189795,0.000290865380915227,0.206693923249421,0,1.03346961624711,0.857930096883131
2023-05-16,8.61041666666667,29.9520833333333,60.6941150830201,595.656893809811,0.00206702006104167,0.0456410448956421,0,0.0456410448956421,0.000351084960735708,0.207068540219907,0,1.03534270109954,0.858545509930262
2023-05-17,8.58916666666667,29.9733333333333,60.9923277367232,554.426153846154,0.00206805644266667,0.0550836040616104,0,0.0550836040616104,0.000423720031243157,0.206926799768519,0,1.03463399884259,0.859139708207833
2023-05-18,8.60791666666667,30.0235416666667,61.2824881663671,700.048333333333,0.00207050514827083,0.0664861706442469,0,0.0664861706442469,0.000511432081878822,0.207052255497685,0,1.03526127748843,0.859713090027653
2023-05-19,8.559375,30.0210416666667,61.5645633280599,708.914,0.00207038322102083,0.0802260792150441,0,0.0802260792150441,0.00061712368626957,0.206715413411458,0,1.03357706705729,0.860266037617544
2023-05-20,8.56,30.0358333333333,61.8385218624851,685.354621794872,0.00207110462391667,0.0968048701142738,0,0.0968048701142738,0.000744652847032875,0.20672,0,1.0336,0.860798917617734
2023-05-21,8.448125,30.0683333333333,62.1043340479968,718.086738782051,0.00207268967816667,0.11671881950005,0,0.11671881950005,0.000897837073077308,0.205795283203125,0,1.02897641601562,0.861312081554717
2023-05-22,8.45520833333333,30.0364583333333,62.3619717536516,722.596340144231,0.00207113510572917,0.140734871320812,0,0.140734871320812,0.00108257593323702,0.205860016999421,0,1.02930008499711,0.861805866290599
2023-05-23,8.46854166666667,30.0460416666667,62.6114083931018,726.016925180288,0.00207160249352083,0.169706383724246,0,0.169706383724246,0.00130543372095574,0.205979600332755,0,1.02989800166377,0.862280594450637
2023-05-24,8.60166666666667,30.024375,62.8526188788532,778.03,0.0020705457906875,0.204812643231009,0,0.204812643231009,0.00157548187100776,0.207011087962963,0,1.03505543981481,0.862736574828847
2023-05-25,8.68833333333333,29.9791666666667,63.0855795776796,740.411649664463,0.00206834093958333,0.247279879781761,0,0.247279879781761,0.00190215292139816,0.207523865740741,0,1.0376193287037,0.863174102773976
2023-05-26,8.75125,29.7429166666667,63.3102682665335,744.865477044521,0.00205681881445833,0.298616062169739,0,0.298616062169739,0.00229704663207492,0.2078176953125,0,1.0390884765625,0.863593460555306
2023-05-27,8.81375,29.7814583333333,63.5266640890102,749.577615010579,0.00205869852622917,0.36066411429651,0,0.36066411429651,0.00277433934074239,0.2080442578125,0,1.0402212890625,0.863994917709116
2023-05-28,8.96458333333333,29.87375,63.7347475133763,742.464518763224,0.002063199673875,0.435685782280059,0,0.435685782280059,0.003351429094462,0.208322880497685,0,1.04161440248843,0.86437873136833
2023-05-29,8.97854166666667,29.903125,63.9345002909771,742.977736037915,0.0020646323190625,0.526287194962633,0,0.526287194962633,0.0040483630381741,0.208329496166088,0,1.04164748083044,0.864745146573738
2023-05-30,9.00625,22.5375,64.1259054158012,742.505800786263,0.00170540415875,0.635689737125068,0,0.635689737125068,0.00488992105480821,0.2083330078125,0,1.0416650390625,0.865094396568837
2023-05-31,9.02854166666667,13.0525,64.308947085346,740.737847230184,0.00124281217225,0.767769983305935,0,0.767769983305935,0.00590592294850719,0.208326544777199,0,1.041632723886,0.865426703079042
2023-06-01,9.11895833333333,15.411875,64.4841805589485,740.306179346924,0.0013578810144375,0.927120077004895,0.5,1.4271200770049,0.0109778467461915,0.208215407624421,0,1.04107703812211,0.865743303813542
2023-06-02,9.12041666666667,17.86375,64.6565889832864,735.003333333333,0.001477461164875,1.11941229674124,0.562540748135693,1.68195304487693,0.0129381003452072,0.208212498553241,0.135242348901922,1.0410624927662,0.866053349929519
2023-06-03,9.151875,20.5072916666667,64.8201878152981,733.66058997761,0.00160638907114583,1.35132118864682,0.632887666779371,1.98420885542619,0.0152631450417399,0.208141116536458,0.135241704076762,1.04070558268229,0.866346232320532
2023-06-04,9.05916666666667,24.2577083333333,64.9749655762462,731.891275664467,0.00178930026735417,1.63122197550116,0.712104229368523,2.34332620486968,0.0180255861913053,0.20830416087963,0.135390749217271,1.04152080439815,0.866622146163836
2023-06-05,9.03270833333333,28.2695833333333,65.128422995756,729.787549743853,0.00198496302179167,1.96873545447379,0.801246835486867,2.76998228996066,0.0213075560766204,0.208324418041088,0.13544648227833,1.04162209020544,0.866894583950406
2023-06-06,9.01958333333333,29.7520833333333,65.2727975381672,718.595,0.00205726588104167,2.37551764023659,0.901544759231428,3.27706239946802,0.0252081723036002,0.20833013744213,0.135490090647923,1.04165068721065,0.867149882466777
2023-06-07,9.05708333333333,29.9608333333333,65.4079979562652,742.85439385208,0.00206744680641667,2.86545436309507,1.01436553405002,3.87981989714509,0.0298447684395776,0.208306179108796,0.135511721303034,1.04153089554398,0.867388071941656
2023-06-08,9.038125,29.948125,65.5340129007305,791.14375,0.0020668270095625,3.45526167883445,1.1412806764187,4.59654235525316,0.035358018117332,0.208321220703125,0.135556073093157,1.04160610351562,0.867609311143811
2023-06-09,8.99916666666667,29.94625,65.6508322020059,789.238333333333,0.002066735564125,4.16474340796809,1.28402802038077,5.44877142834885,0.0419136263719142,0.208333327546296,0.135595894295378,1.04166663773148,0.867813747596357
2023-06-10,9.03208333333333,29.9514583333333,65.7584468450284,757.040657757892,0.00206698957922917,5.01730542561305,1.44453640382775,6.4618418294408,0.0497064756110831,0.208324755497685,0.135619652970061,1.04162377748843,0.868001517765326
2023-06-11,9.11625,29.9447916666667,65.8568489463262,760.587223734345,0.00206666443989583,6.04017047704069,1.62488464936504,7.66505512640573,0.0589619625108133,0.208220716145833,0.135578663375683,1.04110358072917,0.86817274723505
2023-06-12,9.18916666666667,29.9402083333333,65.9460317318121,752.948092167931,0.00206644090660417,7.26511099835409,1.82737210146343,9.09248309981752,0.069942177690904,0.208035133101852,0.13548197821559,1.04017566550926,0.868327550867793
2023-06-13,9.17604166666667,29.983125,66.0259895163393,743.87553187658,0.0020685339910625,8.73103494971133,2.05488467969194,10.7859196294033,0.0829686125338713,0.20807507776331,0.135529603005619,1.04037538881655,0.868466032949814
2023-06-14,9.10333333333333,30.0764583333333,66.0967176845892,740.584250406252,0.00207308594172917,10.4830736962794,2.31059352903865,12.793667225318,0.0984128248101385,0.208244351851852,0.135658953689828,1.04122175925926,0.868588287323395
2023-06-15,9.06958333333333,30.0625,66.1582126734327,735.583507074229,0.00207240518125,12.5712401104159,2.59770849005944,15.1689486004754,0.116684220003657,0.208292984664352,0.135707211613194,1.04146492332176,0.86869439750536
2023-06-16,9.11125,29.9266666666667,66.2104719555792,731.242360800804,0.00206578046733333,15.0518242859175,2.91973372102662,17.9715580069441,0.13824275389957,0.2082301953125,0.135680364718241,1.0411509765625,0.868784436791984
2023-06-17,9.16458333333333,29.796875,66.2534940252562,728.08406803186,0.0020594504109375,17.9877556474142,3.28055705396513,21.2683127013794,0.163602405395226,0.208107602719907,0.135612039713686,1.04053801359954,0.868858468351786
2023-06-18,9.20270833333333,29.843125,66.2872783846527,724.959022438262,0.0020617060650625,21.4486161112003,3.68453309089715,25.1331492020975,0.193331916939211,0.207990911096644,0.135545057943577,1.03995455548322,0.868916545304207
2023-06-19,9.169375,29.899375,66.3118255324641,722.30290127927,0.0020644494281875,25.5130321831184,4.13691385329793,29.6499460364163,0.228076507972433,0.208094267578125,0.135618994857581,1.04047133789062,0.868958710786628
