Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
11,0.0509445501779927,0.00165766835732918,0.00301565995572844,0.0226603210838646,0.000607828653986966,0.000126035521875044,0.00645673780097563,0.0318819054997566,0.00173510690079532,5.01112994431477e-05,0.000766867878383584,3.44497093125121e-06,8.61242732812803e-07,4.66663285118964e-05,0.000766006635650771,0.000607828650208279,0,2.23531828076113e-05,0.000158177985084227,0.0001,0.001,9.9318517,0.00415725687978036,5.78103991483288
12,0.0510385322492764,0.00165867593565558,0.00310986903815541,0.0237571467003888,0.000633569398977283,0.000126035869894343,0.00645675562983314,0.0318847824652494,0.0017352033193053,5.15968717739883e-05,0.000803377253124144,3.44498044377871e-06,8.61245110944677e-07,4.81518913302096e-05,0.0008025160080132,0.000633569395061658,0,2.28091158355193e-05,0.000168946612583604,0.0001,0.001,10,0.00415247724861203,5.78829769220922
13,0.0511324223565311,0.00165972682197123,0.00320286592267033,0.0248259729167388,0.00065861631917754,0.000126036217913997,0.00645677345870888,0.0318820793087533,0.00173511640875212,5.30597444381431e-05,0.000838901478977008,3.44498995631593e-06,8.61247489078982e-07,4.96147544818272e-05,0.000838040231487929,0.000658616315141696,0,2.32701021869033e-05,0.000179423915970321,0.0001,0.001,9.9318517,0.00414710532117247,5.79554410836591
14,0.0512262175567059,0.00166081994514155,0.00329467602834959,0.0258673185799848,0.000683001491306099,0.000126036565934008,0.00645679128760287,0.0318737638006603,0.00173484507823393,5.45005167193769e-05,0.000873461566765813,3.44499946886288e-06,8.61249867215721e-07,5.1055517250514e-05,0.000872600316898598,0.000683001487166259,0,2.3735458076858e-05,0.000189598829350011,0.0001,0.001,9.7320508,0.00414113630508303,5.80277895916277
15,0.0513199147163408,0.00166195428764088,0.00338532372119266,0.0268816736207017,0.000706753652167659,0.00012603702996124,0.00645681505948977,0.0318597882134626,0.00173438829502052,5.59198164070105e-05,0.000907078198118953,3.4450121522739e-06,8.61253038068476e-07,5.24748042547366e-05,0.000906216945080884,0.000706753647939309,0,2.42046586517461e-05,0.000199463296754244,0.0001,0.001,9.4142136,0.0041345634442817,5.81000202619847
16,0.0514135105225347,0.0016631288799034,0.00347483253762974,0.0278695019636743,0.000729896990801652,0.000126037493989106,0.00645683883140912,0.0318400669126891,0.00173374244707648,5.7318151659881e-05,0.000939769394706199,3.44502483570223e-06,8.61256208925558e-07,5.38731268241788e-05,0.000938908138497274,0.00072989698650018,0,2.46772476796793e-05,0.000209011151606095,0.0001,0.001,9,0.00412737512236659,5.81721307769434
17,0.0515070013426217,0.00166434279266816,0.00356322513305792,0.0288312431868716,0.000752453535690679,0.000126037958017604,0.00645686260336085,0.0318146863352772,0.00173291014487465,5.86960595227289e-05,0.000971552970183668,3.44503751914784e-06,8.6125937978696e-07,5.52510220035811e-05,0.000970691710803881,0.000752453531330735,0,2.51528810661691e-05,0.000218238179079696,0.0001,0.001,8.5176381,0.00411958206043202,5.82441185772862
18,0.0516003835433833,0.0016655951332871,0.00365052346316252,0.02976732055186,0.000774443800342797,0.000126038538054115,0.00645689231834604,0.0317841038104826,0.00173190677973909,6.0054115102865e-05,0.00100244696000217,3.44505337347913e-06,8.61263343369783e-07,5.66090617293859e-05,0.0010015856966588,0.000774443795938164,0,2.56313102074206e-05,0.000227141900325828,0.0001,0.001,8,0.0041112429178691,5.83159811086129
19,0.0516936541380338,0.00166688504311196,0.00373674894003639,0.030678154965036,0.000795884499764253,0.000126039002084035,0.00645691609037064,0.0317493127022146,0.00173076348857404,6.1392713630556e-05,0.00103246643154481,3.44506605696362e-06,8.61266514240906e-07,5.79476475735924e-05,0.00103160516503057,0.000795884495328865,0,2.61122680751516e-05,0.000235720669306622,0.0001,0.001,7.4823619,0.00410248535675408,5.83877163187526
20,0.0517868115577249,0.00166821169108066,0.00382192224919662,0.0315641843564231,0.000816794058092803,0.000126039582122324,0.00645694580544692,0.0317123659634179,0.00172954891987717,6.27124521611401e-05,0.00106163056343567,3.44508191134352e-06,8.6127047783588e-07,5.92673702497966e-05,0.00106076929295784,0.000816794053638616,0,2.6595608417651e-05,0.000243975238924742,0.0001,0.001,7,0.00409357322744021,5.8459323249146
