From,To,Tide,RF_surface,RF_bottom,exch_fraction
KK_shore,KK,ebb,0.8,0,0.2
KK,KK_shore,flood,0.2,0,0.04
KK,M_KI,ebb,0.25,0.25,0.1
M_KI,KK,flood,0.15,0.15,0.05
KK,M_JS,ebb,0.25,0.25,0.1
M_JS,KK,flood,0.15,0.15,0.05
M_KI,QCS,ebb,0.25,0.25,0.1
QCS,M_KI,flood,0.1,0.15,0.05
F_KI,M_KI,ebb,0.1,0.1,0.1
M_KI,F_KI,flood,0.3,0.3,0.3
