From,To,Tide,RF_surface,RF_bottom,exch_fraction
KI_F,KI_M,ebb,0.2,0,0.001
KI_M,KI_F,flood,0.1,0,0.03
KI_M,VS,ebb,0.2,0,0.05
VS,KI_M,flood,0.2,0,0.05
KI_M,QCS,ebb,0.2,0,0.3
QCS,KI_M,flood,0.2,0,0.001
VS,QCS,ebb,0.1,0,0.03
QCS,VS,flood,0.1,0,0.0003
VS_shore,VS,ebb,1,0,0.1
VS,VS_shore,flood,0.75,0,0.03
VS_shore,CP,ebb,0.01,0,0.6
CP,VS_shore,flood,0.05,0,0.7
CP,KI_F,ebb,0.01,0,0.8
KI_F,CP,flood,0.05,0,0.001
