From,To,Tide,RF_surface,RF_bottom,exch_fraction
KK_shore,KK,ebb,0,0,0
KK,KK_shore,flood,0,0,0
KK,M_KI,ebb,0,0,0
M_KI,KK,flood,0,0,0
KK,M_JS,ebb,0,0,0
M_JS,KK,flood,0,0,0
M_KI,QCS,ebb,0,0,0
QCS,M_KI,flood,0,0,0
F_KI,M_KI,ebb,0,0,0
M_KI,F_KI,flood,0,0,0
